[39, 53, 44, 56, 47, 56]
[60, 45, 47, 39, 34, 44]
[52, 43, 34, 51, 44, 56]
[55, 52, 33, 46, 52, 54]
[34, 59, 60, 52, 37, 33]
[39, 46, 36, 33, 52, 49]
[47, 32, 42, 54, 53, 52]
[49, 41, 62, 61, 45, 53]
[52, 50, 32, 44, 41, 54]
[58, 56, 58, 48, 46, 37]
[36, 61, 53, 44, 54, 62]
[32, 45, 45, 50, 56, 38]
[60, 32, 35, 44, 46, 46]
[42, 60, 42, 46, 55, 59]
[33, 43, 41, 36, 53, 62]
[57, 39, 61, 40, 59, 47]
[52, 39, 32, 60, 47, 55]
[59, 36, 58, 46, 45, 57]
[43, 48, 45, 35, 37, 48]
[33, 56, 57, 46, 53, 41]
[37, 49, 51, 45, 39, 61]
[59, 42, 47, 34, 32, 63]
[38, 39, 49, 49, 37, 53]
[33, 51, 37, 61, 62, 52]
[36, 44, 53, 55, 41, 47]
[35, 47, 48, 63, 32, 55]
[32, 46, 47, 59, 47, 41]
[45, 34, 51, 51, 54, 52]
[33, 55, 61, 41, 53, 42]
[62, 45, 33, 36, 49, 58]
[39, 44, 44, 41, 48, 39]
[53, 45, 37, 57, 52, 61]
[59, 33, 45, 32, 43, 63]
[43, 33, 47, 62, 43, 52]
[50, 57, 35, 43, 40, 59]
[62, 55, 61, 52, 35, 37]
[57, 43, 45, 47, 53, 40]
[62, 34, 51, 42, 45, 43]
[41, 46, 63, 34, 60, 52]
[48, 43, 44, 32, 49, 38]
[63, 44, 51, 61, 56, 32]
[50, 55, 48, 56, 62, 48]
[39, 56, 34, 48, 62, 57]
[43, 42, 52, 45, 34, 61]
[46, 61, 40, 51, 35, 36]
[60, 38, 35, 48, 56, 52]
[40, 50, 49, 41, 62, 47]
[38, 36, 46, 36, 38, 33]
[37, 36, 53, 58, 55, 38]
[39, 51, 58, 43, 34, 45]
[33, 36, 54, 60, 62, 44]
[41, 61, 57, 53, 39, 48]
[38, 51, 48, 48, 39, 41]
[34, 54, 45, 35, 53, 61]
[62, 42, 56, 32, 37, 61]
[49, 36, 57, 63, 34, 59]
[45, 54, 50, 62, 48, 59]
[56, 44, 59, 47, 53, 58]
[53, 57, 56, 35, 57, 32]
[34, 49, 54, 62, 40, 35]
[49, 42, 47, 46, 51, 35]
[33, 35, 46, 35, 40, 40]
[58, 62, 36, 57, 63, 51]
[34, 56, 37, 50, 32, 53]
[63, 38, 55, 40, 53, 36]
[45, 55, 41, 54, 33, 36]
[36, 48, 63, 44, 38, 46]
[61, 41, 38, 32, 51, 56]
[33, 63, 55, 41, 40, 42]
[52, 63, 32, 48, 50, 58]
[37, 46, 50, 60, 56, 55]
[56, 48, 41, 51, 40, 46]
[46, 60, 43, 47, 50, 50]
[32, 33, 55, 33, 56, 45]
[63, 59, 43, 50, 45, 45]
[56, 51, 49, 36, 41, 62]
[46, 45, 33, 33, 40, 37]
[51, 63, 32, 38, 46, 54]
[46, 47, 37, 58, 37, 52]
[37, 62, 63, 38, 39, 58]
[49, 58, 55, 58, 36, 46]
[46, 55, 59, 53, 48, 39]
[53, 51, 35, 60, 49, 46]
[56, 35, 35, 45, 33, 55]
[63, 33, 62, 39, 57, 51]
[53, 34, 47, 44, 48, 46]
[50, 50, 44, 33, 55, 44]
[55, 38, 61, 35, 34, 50]
[40, 42, 40, 33, 37, 55]
[45, 35, 44, 62, 34, 34]
[45, 35, 61, 52, 54, 61]
[32, 52, 51, 35, 53, 37]
[52, 59, 46, 59, 50, 41]
[45, 50, 52, 49, 33, 57]
[45, 51, 43, 61, 42, 57]
[37, 53, 41, 44, 53, 54]
[54, 42, 34, 44, 54, 52]
[53, 34, 43, 54, 63, 48]
[32, 57, 59, 54, 51, 55]
[44, 48, 56, 47, 39, 45]
[43, 37, 62, 38, 33, 47]
[56, 61, 57, 55, 57, 63]
[60, 63, 54, 53, 33, 42]
[62, 53, 33, 40, 59, 38]
[48, 61, 39, 56, 40, 63]
[49, 40, 44, 44, 42, 57]
[39, 63, 58, 58, 34, 47]
[33, 48, 44, 60, 41, 57]
[34, 59, 63, 38, 57, 55]
[51, 35, 41, 35, 58, 62]
[63, 37, 37, 51, 57, 41]
[45, 57, 63, 57, 54, 52]
[47, 34, 49, 53, 44, 55]
[42, 34, 62, 37, 36, 58]
[35, 38, 32, 39, 41, 43]
[58, 36, 32, 51, 47, 50]
[54, 52, 56, 42, 34, 37]
[55, 44, 43, 37, 47, 56]
[39, 46, 44, 43, 43, 39]
[50, 56, 53, 61, 44, 33]
[62, 53, 57, 56, 58, 44]
[41, 39, 34, 56, 42, 43]
[63, 58, 53, 47, 46, 46]
[59, 57, 36, 51, 51, 57]
[33, 54, 58, 47, 35, 36]
[54, 51, 45, 44, 50, 47]
[36, 48, 47, 35, 52, 33]
[41, 55, 35, 44, 52, 40]
[53, 55, 59, 32, 34, 49]
[42, 61, 40, 52, 47, 40]
[37, 42, 36, 33, 49, 51]
[58, 59, 51, 62, 60, 42]
[50, 63, 36, 58, 53, 54]
[33, 45, 46, 36, 59, 33]
[60, 44, 60, 51, 63, 44]
[51, 51, 34, 52, 36, 54]
[57, 45, 34, 41, 52, 58]
[35, 63, 53, 57, 42, 56]
[52, 52, 43, 48, 52, 44]
[33, 57, 37, 39, 58, 46]
[51, 46, 44, 58, 55, 35]
[47, 34, 53, 58, 44, 63]
[37, 41, 51, 51, 32, 41]
[44, 41, 55, 62, 41, 43]
[40, 56, 62, 59, 52, 58]
[49, 60, 37, 51, 58, 38]
[50, 40, 63, 57, 56, 39]
[37, 42, 53, 38, 44, 58]
[51, 45, 52, 32, 59, 50]
[35, 52, 39, 49, 56, 58]
[49, 35, 38, 47, 43, 33]
[59, 42, 59, 48, 54, 43]
[55, 61, 40, 51, 33, 55]
[57, 35, 41, 42, 61, 48]
[58, 43, 61, 62, 51, 54]
[57, 47, 38, 42, 61, 44]
[36, 40, 59, 33, 57, 62]
[33, 57, 42, 39, 46, 63]
[39, 43, 53, 60, 50, 53]
[42, 62, 43, 43, 44, 39]
[48, 55, 61, 46, 57, 56]
[47, 46, 41, 47, 58, 41]
[35, 50, 49, 51, 40, 38]
[57, 39, 37, 40, 34, 33]
[39, 63, 57, 41, 34, 32]
[39, 38, 59, 41, 46, 49]
[43, 52, 54, 54, 35, 48]
[56, 37, 46, 35, 34, 59]
[39, 50, 32, 46, 43, 56]
[63, 33, 48, 44, 40, 35]
[46, 54, 60, 34, 43, 37]
[33, 42, 38, 59, 60, 38]
[57, 51, 35, 38, 52, 50]
[51, 60, 48, 58, 37, 33]
[34, 43, 47, 48, 43, 60]
[35, 47, 54, 32, 49, 37]
[50, 37, 56, 40, 49, 50]
[36, 44, 43, 48, 49, 34]
[46, 63, 46, 54, 40, 34]
[51, 34, 34, 56, 43, 57]
[52, 42, 54, 51, 40, 61]
[51, 60, 52, 49, 41, 37]
[48, 55, 61, 32, 63, 53]
[44, 47, 58, 44, 50, 62]
[53, 38, 50, 35, 39, 32]
[54, 58, 54, 54, 49, 41]
[36, 56, 58, 58, 51, 59]
[60, 45, 42, 47, 46, 59]
[33, 33, 60, 53, 56, 51]
[44, 44, 40, 58, 41, 49]
[38, 37, 32, 57, 43, 32]
[35, 41, 40, 47, 53, 42]
[46, 43, 39, 57, 46, 32]
[47, 35, 35, 48, 46, 45]
[47, 54, 58, 41, 56, 53]
[36, 45, 58, 36, 37, 49]
[43, 52, 51, 48, 55, 62]
[39, 63, 48, 59, 54, 32]
[36, 45, 62, 38, 38, 62]
[32, 39, 49, 34, 58, 59]
[43, 54, 47, 37, 53, 51]
[58, 36, 45, 56, 58, 60]
[59, 53, 43, 52, 60, 40]
[55, 35, 35, 63, 33, 44]
[43, 42, 41, 51, 33, 53]
[55, 54, 41, 43, 59, 37]
[60, 38, 44, 62, 42, 57]
[43, 62, 53, 40, 36, 45]
[48, 35, 57, 60, 57, 55]
[44, 44, 50, 52, 41, 32]
[46, 56, 38, 59, 53, 54]
[36, 53, 43, 58, 57, 59]
[52, 56, 51, 60, 62, 51]
[34, 54, 40, 60, 43, 55]
[34, 37, 61, 40, 32, 42]
[58, 53, 39, 34, 59, 57]
[62, 46, 46, 42, 41, 40]
[61, 42, 63, 34, 34, 58]
[39, 56, 45, 55, 35, 40]
